id,published_at,title,symbol,name,snippet,highlight,url,sentiment
1,2023-06-15T15:25:09.000000Z,"Fed Hits Pause And So Does Wall Street As Stocks Edge Lower Amid Rising Rates, Dollar - Apple (NASDAQ:AAPL), Adobe (NASDAQ:ADBE)",AAPL,Apple Inc.,"(Thursday market open) The relentless rally took a breather this morning following the Federal Reserve’s “hawkish pause.” Treasury yields rose, putting pr...","UnitedHealth is a very big company, but not really close to some of the monsters of the DJIA like <em>Apple</em> AAPL and Microsoft MSFT.",https://www.benzinga.com/markets/23/06/32877472/fed-hits-pause-and-so-does-wall-street-as-stocks-edge-lower-amid-rising-rates-dollar,5.023
3,2023-06-15T14:50:00.000000Z,Tesla Stock’s Winning Streak Is Over. Let the Losing Streak Begin.,AAPL,Apple Inc.,"Tesla stock’s winning streak was snapped at 13 consecutive days on Wednesday, but ven with one drop in the past 14 trading sessions, shares are up an incredib...","“This reminds us of when the Street started to realize the margin story and valuation at [ Amazon Web Services] for Amazon and the growth/margins of the <em>Apple</em> Services story in Cupertino,” added Ives.

Analysts frequently value AWS separately from Amazon’s retail business.",https://www.marketwatch.com/articles/tesla-stock-price-streak-ai-3fae95fc,5.859
5,2023-06-15T14:24:06.000000Z,Dow Jones Rallies 225 Points On Surprise Rise In Jobless Claims; Tesla Stock Reverses Higher,AAPL,Apple Inc.,"The Dow Jones Industrial Average rallied 225 points Thursday after a heavy slate of economic news, including the Labor Department's first-time jobless claims an...",Dow Jones tech giants <em>Apple</em> (AAPL) and Microsoft (MSFT) were higher after today's stock market open.,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-jobless-claims-tesla-stock-extends-losses/,0.0
1,2023-06-15T14:24:01.000000Z,Breaking Barriers - How Apple's Bold Stride Above Major Market Resistance Sets The Stage For New Record Highs - Apple (NASDAQ:AAPL),AAPL,Apple Inc.,"Apple Inc., a key player in the tech industry, has experienced notable fluctuations in its stock price, recently reaching an all-time high of $184 following the...","<em>Apple</em> <em>Inc</em>., a key player in the tech industry, has experienced notable fluctuations in its stock price, recently reaching an all-time high of $184 following the launch of its new product, Vision Pro.",https://www.benzinga.com/23/06/32875598/breaking-barriers-how-apples-bold-stride-above-major-market-resistance-sets-the-stage-for-new-record,4.215
3,2023-06-15T14:22:55.000000Z,Microsoft Shares on Course for New Record High as Rally Gains Steam,AAPL,Apple Inc.,"(Bloomberg) -- Microsoft Corp. is on pace to close at a record high, becoming the third mega-cap technology firm after Nvidia Corp. and Apple Inc. to scale new ...","(Bloomberg) -- Microsoft Corp. is on pace to close at a record high, becoming the third mega-cap technology firm after Nvidia Corp. and <em>Apple</em> <em>Inc</em>. to scale new heights this year as the sector rebounds on hopes that the Federal Reserve will start cutting interest rates.",https://finance.yahoo.com/news/microsoft-shares-course-record-high-142255057.html?.tsrc=rss,6.486
5,2023-06-15T14:05:24.000000Z,"Market Clubhouse Morning Memo - June 15th, 2023 (Trade Strategy For SPY, QQQ, AAPL, TSLA, MSFT, NVDA, And AI) - Invesco QQQ Trust, Series 1 (NASDAQ:QQQ)",AAPL,Apple Inc.,"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, TSLA, MSFT, NVDA, and AI.

Our proprietary formula, exclusive to...","<em>Apple</em> <em>Inc</em>.

At the moment, <em>Apple</em> AAPL is sustaining above the 183 price level and attempting to reclaim our upside support level of 183.38. Should <em>Apple</em> demonstrate buy-side strength today, our upside target is 184.09, with a further target of 184.35.",https://www.benzinga.com/23/06/32875121/market-clubhouse-morning-memo-june-15th-2023-trade-strategy-for-spy-qqq-aapl-tsla-msft-nvda-and-ai,7.096
1,2023-06-15T14:00:17.000000Z,Logica Capital May 2023 Commentary,AAPL,Apple Inc.,"Learn the Insider Secrets of what the Top Hedge Funds are doing TODAY to maximize their upside and gains.

Gates Cap Management Reduces Risk After Rare Down Yea...","State of play: The big five that are responsible for the vast majority of the stock market’s 2023 gains are <em>Apple</em> (up 36% this year), Microsoft (37%), Alphabet (39%), Amazon (44%), and current stock market darling Nvidia, which has surged 159% on AI-related excitement.",https://www.valuewalk.com/logica-capital-may-2023-commentary/,0.93
3,2023-06-15T14:00:16.000000Z,Carnival Corporation Stock: 5 Reasons I Shorted (NYSE:CCL),AAPL,Apple Inc.,"Ethan Miller/Getty Images News

Right off the bat, I am not a natural ""short seller"". I generally don't have the stomach to short a stock and watch it go up, wo...","For example, <em>Apple</em>, <em>Inc</em>. (AAPL) paid nearly $1 billion in interest expense in its most recent quarter. However, that number represented 1% of Apple's quarterly revenue while Carnival consumed 12% of its recent quarterly revenue to just pay interest on debt.",https://seekingalpha.com/article/4611712-carnival-corporation-5-reasons-short,5.267
5,2023-06-15T14:00:00.000000Z,Választottak az irányt az amerikai tőzsdék: most épp felfelé,AAPL,Apple Inc.,"Emelkedéssel indul a nap az amerikai tőzsdéken a tegnapi bizonytalankodás után, amit a Fed tegnapi kamatdöntése és Jerome Powell kommentárja váltott k...","Dow részvények mai árfolyamváltozása

A FAANG részvények közül a legjobban az <em>Apple</em> papírjai teljesítenek, míg a leggyengébben az Amazon részvényei szerepelnek a mai nyitás után.

FAANG részvények mai árfolyamváltozása

Címlapkép forrása: solarseven",https://www.portfolio.hu/uzlet/20230615/valasztottak-az-iranyt-az-amerikai-tozsdek-most-epp-felfele-621782,6.486
1,2023-06-15T13:59:00.000000Z,LiveOne and Legible Enter into Exclusive Multi Year Strategic Partnership to Deliver First Ever In-Car Book Streaming Service,AAPL,Apple Inc.,"LOS ANGELES, CA, and VANCOUVER, British Columbia , June 15, 2023 (GLOBE NEWSWIRE) --



To Provide a Combination of Over 2 Million Audiobooks and eBooks

to the...","LiveOne is available on iOS, Android, Roku, <em>Apple</em> TV, Amazon Fire, and through OTT, STIRR, and XUMO. For more information, visit liveone.com and follow us on Facebook , Instagram , TikTok , YouTube and Twitter at @liveone .

About Legible Inc.",https://www.globenewswire.com/news-release/2023/06/15/2689035/0/en/LiveOne-and-Legible-Enter-into-Exclusive-Multi-Year-Strategic-Partnership-to-Deliver-First-Ever-In-Car-Book-Streaming-Service.html,-1.779
